ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MP11441.pos,10615.26474,13985.3511,6797.202665,12389.92527,9416.033302,Unclassified
MP11443.pos,90648.8828,99297.39249,167221.0332,194886.4964,145759.1269,Unclassified
MP11447.pos,141130.174,116478.4145,137409.6943,150582.2287,143005.7495,Unclassified
MP11449.pos,113800.1492,165239.8265,84100.3418,135556.3752,110086.199,Unclassified
MP11450.pos,433891.1623,321156.4758,300277.6176,405017.5854,413278.5882,Unclassified
MP11451.pos,38319.52578,43488.26141,53373.69977,38756.02325,29347.89823,Unclassified
MP11452.pos,187543.0363,27300.41348,27549.16926,32554.11877,33449.51753,Unclassified
MP11453.pos,8317.684012,7383.524695,27941.06097,24857.93174,13582.42836,Unclassified
MP11454.pos,64972.11245,16239.38239,110502.6518,8372.750077,54211.49791,Unclassified
MP11455.pos,256762.7004,127777.7393,80712.76179,111111.1295,96074.6518,Unclassified
MP11457.pos,584594.1927,331618.194,341498.631,449533.8315,418366.1315,Unclassified
MP11460.pos,703835.9515,32474.63269,70307.90739,113479.1094,93697.77953,Prenol lipids
MP11461.pos,69487.85285,171515.5269,106263.5961,159568.7618,78166.50671,Unclassified
MP11463.pos,2452510.549,1109323.625,2729447.131,2703586.619,2188398.4,Unclassified
MP11464.pos,675937.667,136179.7441,662018.8676,387549.8343,500506.2088,Unclassified
MP11465.pos,15531046.51,5950606.975,19153311.87,13372221.39,12426694.8,Unclassified
MP11466.pos,475697.3785,149026.3029,536671.8856,363399.112,428563.1486,Unclassified
MP11467.pos,580730.3925,488628.4428,390998.3459,523515.4636,358169.9109,Unclassified
MP11468.pos,391888.2993,198448.8879,21283.36331,339088.0748,227826.8974,Fatty Acyls
MP11469.pos,141300.7518,35862.912,310645.0982,444097.1795,63854.81034,Fatty Acyls
MP11470.pos,323616.3198,259093.6129,214773.2582,407945.4296,396919.0994,Unclassified
MP11471.pos,367799.8355,558226.4093,395507.3105,297958.6298,393737.5905,Unclassified
MP11472.pos,81848.35984,297714.4257,46016.46726,222319.656,129371.3243,Unclassified
MP11473.pos,114013.8852,162869.779,38222.7153,158446.3403,109200.5586,Unclassified
MP11474.pos,139174.0636,116084.8431,87688.53009,115361.5858,145318.0026,Unclassified
MP11475.pos,98960789.18,91434732.18,92183227.75,93068158.22,87237375.71,Unclassified
MP11476.pos,144222.668,180282.9271,154836.5194,145149.4028,235845.6758,Unclassified
MP11477.pos,106052.3408,129651.8274,179706.7545,200882.7534,196725.6591,Unclassified
MP11478.pos,86326.93738,189486.5847,104924.9837,112542.3212,96480.11007,Unclassified
MP11479.pos,27398850.74,27765864,27323088.01,26808278.86,28995455.62,Prenol lipids
